=======
RESULTS
=======

Duration of BST Search: 45902000  nanoseconds
Duration of AVL Search: 32935000  nanoseconds
Duration of Hash Table Search: 5016000  nanoseconds



==============
SEARCHED WORDS
==============

Words searched: 18197

551) Found the word: 663Bernardo		 with [1] duplicates.
552) Found the word: portrait		 with [73] duplicates.
553) Found the word: 664Notes		 with [1] duplicates.
554) Found the word: 669Allegorical		 with [1] duplicates.
555) Found the word: 674678Arrangement		 with [1] duplicates.
556) Found the word: How		 with [783] duplicates.
557) Found the word: remaining		 with [88] duplicates.
558) Found the word: eating		 with [50] duplicates.
559) Found the word: assassinations		 with [2] duplicates.
560) Found the word: sea		 with [390] duplicates.
561) Found the word: mouth		 with [379] duplicates.
562) Found the word: breathe		 with [22] duplicates.
563) Found the word: 27th		 with [7] duplicates.
564) Found the word: Sughero		 with [1] duplicates.
565) Found the word: Codex		 with [13] duplicates.
566) Found the word: 377a		 with [1] duplicates.
567) Found the word: 1170a		 with [1] duplicates.
568) Found the word: sketch		 with [188] duplicates.
569) Found the word: disk		 with [26] duplicates.
570) Found the word: Channa		 with [1] duplicates.
571) Found the word: put		 with [939] duplicates.
572) Found the word: motions		 with [26] duplicates.
573) Found the word: useless		 with [103] duplicates.
574) Found the word: comparatively		 with [126] duplicates.
575) Found the word: title		 with [92] duplicates.
576) Found the word: Del		 with [3] duplicates.
577) Found the word: e		 with [397] duplicates.
578) Found the word: dellAcqua		 with [1] duplicates.
579) Found the word: L		 with [44] duplicates.
580) Found the word: Let		 with [286] duplicates.
581) Found the word: Begun		 with [3] duplicates.
582) Found the word: house		 with [1090] duplicates.
583) Found the word: Piero		 with [26] duplicates.
584) Found the word: Martelli		 with [4] duplicates.
585) Found the word: believe		 with [377] duplicates.
586) Found the word: blame		 with [147] duplicates.
587) Found the word: retain		 with [70] duplicates.
588) Found the word: gone		 with [473] duplicates.
589) Found the word: frequently		 with [440] duplicates.
590) Found the word: mentioned		 with [182] duplicates.
591) Found the word: Commissario		 with [1] duplicates.
592) Found the word: Signoria		 with [9] duplicates.
593) Found the word: Famiglie		 with [1] duplicates.
594) Found the word: Italiane		 with [1] duplicates.
595) Found the word: Official		 with [3] duplicates.
596) Found the word: Catalogue		 with [2] duplicates.
597) Found the word: Mus		 with [3] duplicates.
598) Found the word: Series		 with [75] duplicates.
599) Found the word: addi		 with [1] duplicates.
600) Found the word: marzo		 with [1] duplicates.
601) Found the word: Christian		 with [38] duplicates.
602) Found the word: Incarnation		 with [1] duplicates.
603) Found the word: le		 with [163] duplicates.
604) Found the word: ho		 with [17] duplicates.
605) Found the word: qui		 with [41] duplicates.
606) Found the word: We		 with [953] duplicates.
607) Found the word: suppose		 with [132] duplicates.
608) Found the word: 5		 with [311] duplicates.
